profID,avgDifficulty,avgRating,department,firstName,lastName,numRatings,wouldTakeAgainPercent,fullName
7775,2.3,4.4,Mechanical Engineering,Alan,Wineman,34,80.0,Alan Wineman
7964,1.6,4.5,Anthropology,Thomas,Fricke,114,95.0,Thomas Fricke
8045,2.6,3.2,Biology,Julian,Adams,22,,Julian Adams
8189,3.1,4.6,Music,Deborah,Chodacki,8,,Deborah Chodacki
10260,4.0,2.3,Political Science,Arlene,Saxonhouse,86,66.0,Arlene Saxonhouse
10261,1.3,5.0,Psychology,Charles,Behling,18,100.0,Charles Behling
10262,0.0,0.0,English,Daphne,Swabey,0,,Daphne Swabey
10264,2.7,4.0,Spanish,Carmen,Cross,42,,Carmen Cross
10960,3.4,1.8,Anthropology,Bruce,Mannheim,13,50.0,Bruce Mannheim
10961,2.6,4.3,Anthropology,Henry,Wright,7,,Henry Wright
10962,4.1,3.8,French,Helene,Neu,18,,Helene Neu
13894,2.8,4.0,English,Ralph,Williams,155,100.0,Ralph Williams
21595,3.1,2.4,Economics,Warren,Whatley,7,,Warren Whatley
22061,2.7,3.8,Chemistry,James,Penner-Hahn,11,100.0,James Penner-Hahn
22063,3.2,2.6,Chemistry,Nancy,Kerner,177,,Nancy Kerner
22973,3.3,3.8,Nuclear Engineering,James,Holloway,39,,James Holloway
24097,3.4,4.2,Architecture,James,Chaffers,7,,James Chaffers
24098,3.4,3.0,Architecture,Karl,Daubman,7,,Karl Daubman
24857,2.6,3.8,Mechanical Engineering,Bruce,Karnopp,26,,Bruce Karnopp
26286,3.2,2.8,Psychology,David,Winter,45,,David Winter
27171,3.7,3.5,Philosophy,Peter,Railton,36,100.0,Peter Railton
35368,3.4,4.1,Engineering,Roman,Hryciw,7,100.0,Roman Hryciw
38556,2.9,4.5,Mechanical Engineering,Bogdan,Epureanu,58,100.0,Bogdan Epureanu
46899,2.4,4.1,Electrical Engineering,Jamie,Philips,18,,Jamie Philips
58316,3.4,2.5,Engineering,Mary Lou,Dorf,154,16.0,Mary Lou Dorf
60585,2.8,3.7,Classics,H D,Cameron,82,100.0,H D Cameron
60586,3.4,2.1,Chemistry,Omar,Yaghi,29,100.0,Omar Yaghi
60591,3.9,3.9,Physics,Myron,Campbell,33,83.0,Myron Campbell
60593,3.6,3.5,Physics,Cagliyan,Kurdak,36,,Cagliyan Kurdak
60594,2.8,2.8,Chemistry,Michael,Morris,9,,Michael Morris
60802,3.1,4.5,Japanese,Shoko,Emori,15,,Shoko Emori
64977,1.8,3.4,Anthropology,Andres,Frisancho,57,,Andres Frisancho
66130,2.5,3.9,Psychology,Brad,Bushman,79,,Brad Bushman
68737,3.2,2.9,Architecture,Craig,Borum,10,,Craig Borum
68957,3.5,3.3,Mathematics,Karen,Rhea,20,,Karen Rhea
68961,2.7,4.1,Natural Resources,James,Diana,36,,James Diana
73260,1.6,4.2,Comprehensive Studies,Ralph,Story,12,100.0,Ralph Story
78829,3.7,3.5,Political Science,Ann,Lin,10,0.0,Ann Lin
81064,2.2,3.6,Anthropology,Kelly,Askew,25,100.0,Kelly Askew
83225,2.8,3.8,Italian,Guglielmo,Audiberti,42,90.0,Guglielmo Audiberti
87276,1.5,3.9,Residential College,Warren,Hecht,14,,Warren Hecht
87440,3.4,3.6,Business,Katherine,Erdman,7,,Katherine Erdman
89097,4.0,2.8,Communication,Derek,Vaillant,48,16.0,Derek Vaillant
89318,3.0,4.5,Psychology,Kent,Berridge,73,85.0,Kent Berridge
91353,2.3,4.3,Classics,Benjamin,Acosta-Hughes,32,100.0,Benjamin Acosta-Hughes
94752,2.7,4.0,History,Charles,Bright,10,,Charles Bright
98750,3.0,4.4,Public Policy,James,Hines,11,,James Hines
99277,3.3,2.3,Chemistry,Neil,Marsh,27,0.0,Neil Marsh
