profID,avgDifficulty,avgRating,department,firstName,lastName,numRatings,wouldTakeAgainPercent
7775,2.3,4.4,Mechanical Engineering,Alan,Wineman,34,80
7964,1.6,4.5,Anthropology,Thomas,Fricke,114,95.4545
8045,2.6,3.2,Biology,Julian,Adams,22,-1
8189,3.1,4.6,Music,Deborah,Chodacki,8,-1
10260,4,2.3,Political Science,Arlene,Saxonhouse,86,66.6667
10261,1.3,5,Psychology,Charles,Behling,18,100
10262,0,0,English,Daphne,Swabey,0,-1
10264,2.7,4,Spanish,Carmen,Cross,42,-1
10960,3.4,1.8,Anthropology,Bruce,Mannheim,13,50
10961,2.6,4.3,Anthropology,Henry,Wright,7,-1
10962,4.1,3.8,French,Helene,Neu,18,-1
13894,2.8,4,English,Ralph,Williams,155,100
21595,3.1,2.4,Economics,Warren,Whatley,7,-1
22061,2.7,3.8,Chemistry,James,Penner-Hahn,11,100
22063,3.2,2.6,Chemistry,Nancy,Kerner,177,-1
22973,3.3,3.8,Nuclear Engineering,James,Holloway,39,-1
24097,3.4,4.2,Architecture,James,Chaffers,7,-1
24098,3.4,3,Architecture,Karl,Daubman,7,-1
24857,2.6,3.8,Mechanical Engineering,Bruce,Karnopp,26,-1
26286,3.2,2.8,Psychology,David,Winter,45,-1
27171,3.7,3.5,Philosophy,Peter,Railton,36,100
35368,3.4,4.1,Engineering,Roman,Hryciw,7,100
38556,2.9,4.5,Mechanical Engineering,Bogdan,Epureanu,58,100
46899,2.4,4.1,Electrical Engineering,Jamie,Philips,18,-1
58316,3.4,2.5,Engineering,Mary Lou,Dorf,154,16.6667
60585,2.8,3.7,Classics,H D,Cameron,82,100
60586,3.4,2.1,Chemistry,Omar,Yaghi,29,100
60591,3.9,3.9,Physics,Myron,Campbell,33,83.3333
60593,3.6,3.5,Physics,Cagliyan,Kurdak,36,-1
60594,2.8,2.8,Chemistry,Michael,Morris,9,-1
60802,3.1,4.5,Japanese,Shoko,Emori,15,-1
64977,1.8,3.4,Anthropology,Andres,Frisancho,57,-1
66130,2.5,3.9,Psychology,Brad,Bushman,79,-1
68737,3.2,2.9,Architecture,Craig,Borum,10,-1
68957,3.5,3.3,Mathematics,Karen,Rhea,20,-1
68961,2.7,4.1,Natural Resources,James,Diana,36,-1
73260,1.6,4.2,Comprehensive Studies,Ralph,Story,12,100
78829,3.7,3.5,Political Science,Ann,Lin,10,0
81064,2.2,3.6,Anthropology,Kelly,Askew,25,100
83225,2.8,3.8,Italian,Guglielmo,Audiberti,42,90.9091
87276,1.5,3.9,Residential College,Warren,Hecht,14,-1
87440,3.4,3.6,Business,Katherine,Erdman,7,-1
89097,4,2.8,Communication,Derek,Vaillant,48,16.6667
89318,3,4.5,Psychology,Kent,Berridge,73,85
91353,2.3,4.3,Classics,Benjamin,Acosta-Hughes,32,100
94752,2.7,4,History,Charles,Bright,10,-1
98750,3,4.4,Public Policy,James,Hines,11,-1
99277,3.3,2.3,Chemistry,Neil,Marsh,27,0
107382,2.5,3.8,Spanish,Juan,De Los Santos Plata,49,-1
109809,2.9,4.5,Economics,Paula,Malone,101,-1
110321,2.6,4.3,Electrical Engineering,Herbert,Winful,12,-1
112205,2.4,4.9,Spanish,Kristina,Primorac,39,100
112207,3.3,3.8,Economics,Janet,Gerson,151,100
115942,4,2.9,Mechanical Engineering,Arthur,Kuo,11,0
117033,3.3,4.2,Ethnic Studies,Sarita,See,11,-1
122393,2.4,4,History,Ray,Van Dam,34,-1
122397,3,4.6,English,Raymond,McDaniel,38,100
122569,3.7,3.8,Engineering,Jason,Daida,167,-1
122579,2.4,4.5,Engineering,Erik,Hildinger,39,66.6667
124722,2.8,3.5,Mechanical Engineering,Sridhar,Kota,6,100
126755,2,4.3,Linguistics,"Edward ""Rusty""",Barrett,7,100
131561,2.7,3.2,Film,Mark,Nornes,15,75
132112,4.6,3.6,Computer Science,David,Kieras,43,50
135652,2.6,4.3,Near Eastern Studies,Sherman,Jackson,29,-1
135977,3,4.5,Electrical Engineering,Gabriel,Rebeiz,1,-1
138093,3.3,5,English,John,Rubadeau,50,100
139457,3.5,1.9,Music,Marion,Guck,15,25
141189,3,4.4,Fine Arts,Michael,Rodemer,7,100
145222,4.1,2.6,Physics,George,Raithel,10,0
146182,3.8,1.9,Mathematics,Hugh,Montgomery,32,-1
146817,4.4,2.8,Mechanical Engineering,Rayhaneh,Akhavan,15,50
153490,2.6,2.5,Engineering,Rodney,Johnson,29,50
155905,3.6,3.8,Business,Eric,Svaan,20,33.3333
155925,3.5,5,Music,Colleen,Conway,6,100
156280,3.2,4.3,Chemistry,Masato,Koreeda,88,-1
164289,3.5,3.5,English,Peter,Bauland,41,100
165701,3.6,3.5,English,Geoffrey,Bankowski,44,-1
168350,2.4,3.3,Linguistics,Acrisio,Pires,27,100
168352,3.3,4.9,Linguistics,John,Swales,4,-1
169870,4.5,2.7,Chemistry,Richard,Frazee,10,-1
170446,0,0,Mathematics,Peter,Hinman,0,-1
170994,2.9,3.9,Education,Elizabeth,Moje,14,-1
171009,3.5,4.9,Mathematics,Jill,Halpern,30,100
175266,3.3,3.9,Film,James,Burnstein,13,-1
